S.No,Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,Unnamed: 10,ATA,Unnamed: 12,Unnamed: 13,__sheet__,dep_delay_min,arr_delay_min
1,BA134,2025-07-18,Mumbai(BOM),London(LHR),B772(G-YMMI),09:06:00,2025-07-18 09:30:00,2025-07-18 09:41:00,2025-07-18 14:55:00,,2025-07-18 14:16:00,,,9AM - 12PM,11.0,-39.0
2,VS355,2025-07-18,Mumbai(BOM),London(LHR),B789(G-VBEL),08:52:00,2025-07-18 10:55:00,2025-07-18 11:18:00,2025-07-18 16:15:00,,2025-07-18 15:40:00,,,9AM - 12PM,23.0,-35.0
3,9I623,2025-07-18,Mumbai(BOM),Diu(DIU),AT76(VT-AIY),00:44:00,2025-07-18 11:15:00,2025-07-18 16:10:00,2025-07-18 12:20:00,,2025-07-18 16:54:00,,,9AM - 12PM,295.0,274.0
4,SQ421,2025-07-18,Mumbai(BOM),Singapore(SIN),B78X(9V-SCL),04:53:00,2025-07-18 11:45:00,2025-07-18 11:57:00,2025-07-18 19:50:00,,2025-07-18 19:20:00,,,9AM - 12PM,12.0,-30.0
5,6E762,2025-07-19,Mumbai(BOM),Delhi(DEL),A21N(VT-NCG),01:45:00,2025-07-19 06:00:00,2025-07-19 06:07:00,2025-07-19 07:55:00,,2025-07-19 07:53:00,,,6AM - 9AM,7.0,-2.0
6,AI2509,2025-07-19,Mumbai(BOM),Chandigarh(IXC),A20N(VT-EXL),01:54:00,2025-07-19 06:00:00,2025-07-19 06:15:00,2025-07-19 08:10:00,,2025-07-19 08:09:00,,,6AM - 9AM,15.0,-1.0
7,AI2625,2025-07-19,Mumbai(BOM),Hyderabad(HYD),A20N(VT-TQB),01:13:00,2025-07-19 06:00:00,2025-07-19 06:20:00,2025-07-19 07:25:00,,2025-07-19 07:33:00,,,6AM - 9AM,20.0,8.0
8,6E5352,2025-07-19,Mumbai(BOM),Bengaluru(BLR),A21N(VT-NCB),01:11:00,2025-07-19 06:05:00,2025-07-19 06:10:00,2025-07-19 07:55:00,,2025-07-19 07:21:00,,,6AM - 9AM,5.0,-34.0
9,QP1891,2025-07-19,Mumbai(BOM),Srinagar(SXR),B38M(VT-YAA),02:11:00,2025-07-19 06:05:00,2025-07-19 06:16:00,2025-07-19 08:45:00,,2025-07-19 08:27:00,,,6AM - 9AM,11.0,-18.0
10,6E5349,2025-07-19,Mumbai(BOM),Nagpur(NAG),A21N(VT-ICZ),01:05:00,2025-07-19 06:10:00,2025-07-19 06:19:00,2025-07-19 07:45:00,,2025-07-19 07:24:00,,,6AM - 9AM,9.0,-21.0
11,6E1185,2025-07-19,Mumbai(BOM),Colombo(CMB),A20N(VT-IJY),02:20:00,2025-07-19 06:10:00,2025-07-19 06:28:00,2025-07-19 08:45:00,,2025-07-19 08:48:00,,,6AM - 9AM,18.0,3.0
12,QO342,2025-07-19,Mumbai(BOM),Delhi(DEL),B738(VT-BAZ),01:39:00,2025-07-19 06:15:00,2025-07-19 06:18:00,2025-07-19 08:25:00,,2025-07-19 07:57:00,,,6AM - 9AM,3.0,-28.0
13,6E6794,2025-07-19,Mumbai(BOM),Udaipur(UDR),A21N(VT-ILQ),01:03:00,2025-07-19 06:15:00,2025-07-19 06:24:00,2025-07-19 07:40:00,,2025-07-19 07:27:00,,,6AM - 9AM,9.0,-13.0
