S.No,Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,Unnamed: 10,ATA,Unnamed: 12,Unnamed: 13,__sheet__,dep_delay_min,arr_delay_min
,AI2739,2025-07-25,Mumbai(BOM),Chennai(MAA),A20N(VT-TQA),01:34:00,2025-07-25 09:00:00,2025-07-25 09:28:00,2025-07-25 11:00:00,,2025-07-25 11:02:00,,,9AM - 12PM,28.0,2.0
,AI2739,2025-07-24,Mumbai(BOM),Chennai(MAA),A20N(VT-TNR),01:36:00,2025-07-24 09:00:00,2025-07-24 09:11:00,2025-07-24 11:00:00,,2025-07-24 10:46:00,,,9AM - 12PM,11.0,-14.0
,AI2739,2025-07-23,Mumbai(BOM),Chennai(MAA),A20N(VT-TQJ),01:35:00,2025-07-23 09:00:00,2025-07-23 09:20:00,2025-07-23 11:00:00,,2025-07-23 10:55:00,,,9AM - 12PM,20.0,-5.0
,AI2739,2025-07-22,Mumbai(BOM),Chennai(MAA),A20N(VT-TNF),01:37:00,2025-07-22 09:00:00,2025-07-22 09:17:00,2025-07-22 11:00:00,,2025-07-22 10:54:00,,,9AM - 12PM,17.0,-6.0
,AI2739,2025-07-21,Mumbai(BOM),Chennai(MAA),A20N(VT-TQJ),01:35:00,2025-07-21 09:00:00,2025-07-21 09:40:00,2025-07-21 11:00:00,,2025-07-21 11:14:00,,,9AM - 12PM,40.0,14.0
,AI2739,2025-07-20,Mumbai(BOM),Chennai(MAA),A20N(VT-TNP),01:33:00,2025-07-20 09:00:00,2025-07-20 09:17:00,2025-07-20 11:00:00,,2025-07-20 10:49:00,,,9AM - 12PM,17.0,-11.0
,AI2739,2025-07-19,Mumbai(BOM),Chennai(MAA),A20N(VT-TNZ),01:34:00,2025-07-19 09:00:00,2025-07-19 09:08:00,2025-07-19 11:00:00,,2025-07-19 10:41:00,,,9AM - 12PM,8.0,-19.0
,AI2739,2025-07-19,,,,,,,,,,,,9AM - 12PM,,
2.0,QP1518,2025-07-19,,,,,,,,,,,,9AM - 12PM,,
,QP1518,2025-07-25,Mumbai(BOM),Cochin(COK),B38M(VT-YAB),01:36:00,2025-07-25 09:10:00,2025-07-25 09:41:00,2025-07-25 11:15:00,,2025-07-25 11:17:00,,,9AM - 12PM,31.0,2.0
,QP1518,2025-07-24,Mumbai(BOM),Cochin(COK),B38M(VT-YAP),01:33:00,2025-07-24 09:10:00,2025-07-24 09:21:00,2025-07-24 11:15:00,,2025-07-24 10:54:00,,,9AM - 12PM,11.0,-21.0
,QP1518,2025-07-23,Mumbai(BOM),Cochin(COK),B38M(VT-YAR),01:35:00,2025-07-23 09:10:00,2025-07-23 09:54:00,2025-07-23 11:15:00,,2025-07-23 11:29:00,,,9AM - 12PM,44.0,14.0
