S.No,Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,Unnamed: 10,ATA,Unnamed: 12,Unnamed: 13,__sheet__,dep_delay_min,arr_delay_min
,AI2509,2025-07-25,Mumbai(BOM),Chandigarh(IXC),A20N(VT-EXU),01:54:00,2025-07-25 06:00:00,2025-07-25 06:20:00,2025-07-25 08:10:00,,2025-07-25 08:14:00,,,6AM - 9AM,20.0,4.0
,AI2509,2025-07-24,Mumbai(BOM),Chandigarh(IXC),A20N(VT-RTJ),01:54:00,2025-07-24 06:00:00,2025-07-24 06:07:00,2025-07-24 08:10:00,,2025-07-24 08:01:00,,,6AM - 9AM,7.0,-9.0
,AI2509,2025-07-23,Mumbai(BOM),Chandigarh(IXC),A20N(VT-TQB),02:04:00,2025-07-23 06:00:00,2025-07-23 06:20:00,2025-07-23 08:10:00,,2025-07-23 08:23:00,,,6AM - 9AM,20.0,13.0
,AI2509,2025-07-22,Mumbai(BOM),Chandigarh(IXC),A20N(VT-RTU),01:50:00,2025-07-22 06:00:00,2025-07-22 07:30:00,2025-07-22 08:10:00,,2025-07-22 09:20:00,,,6AM - 9AM,90.0,70.0
,AI2509,2025-07-21,Mumbai(BOM),Chandigarh(IXC),A20N(VT-EXK),01:50:00,2025-07-21 06:00:00,2025-07-21 06:11:00,2025-07-21 08:10:00,,2025-07-21 08:01:00,,,6AM - 9AM,11.0,-9.0
,AI2509,2025-07-20,Mumbai(BOM),Chandigarh(IXC),A20N(VT-EXM),01:48:00,2025-07-20 05:30:00,2025-07-20 05:50:00,2025-07-20 07:40:00,,2025-07-20 07:39:00,,,6AM - 9AM,20.0,-1.0
,AI2509,2025-07-19,Mumbai(BOM),Chandigarh(IXC),A20N(VT-EXL),01:54:00,2025-07-19 06:00:00,2025-07-19 06:15:00,2025-07-19 08:10:00,,2025-07-19 08:09:00,,,6AM - 9AM,15.0,-1.0
,AI2509,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
,AI2509,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
2.0,AI2625,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
,AI2625,2025-07-25,Mumbai(BOM),Hyderabad(HYD),A20N(VT-TQW),01:09:00,2025-07-25 06:00:00,2025-07-25 06:17:00,2025-07-25 07:25:00,,2025-07-25 07:26:00,,,6AM - 9AM,17.0,1.0
,AI2625,2025-07-24,Mumbai(BOM),Hyderabad(HYD),A20N(VT-TQH),01:08:00,2025-07-24 06:00:00,2025-07-24 06:18:00,2025-07-24 07:25:00,,2025-07-24 07:27:00,,,6AM - 9AM,18.0,2.0
,AI2625,2025-07-23,Mumbai(BOM),Hyderabad(HYD),A20N(VT-EXV),01:05:00,2025-07-23 06:00:00,2025-07-23 06:26:00,2025-07-23 07:25:00,,2025-07-23 07:31:00,,,6AM - 9AM,26.0,6.0
,AI2625,2025-07-22,Mumbai(BOM),Hyderabad(HYD),A20N(VT-TQF),01:06:00,2025-07-22 06:00:00,2025-07-22 06:39:00,2025-07-22 07:25:00,,2025-07-22 07:45:00,,,6AM - 9AM,39.0,20.0
,AI2625,2025-07-21,Mumbai(BOM),Hyderabad(HYD),A20N(VT-TNU),01:07:00,2025-07-21 06:00:00,2025-07-21 06:22:00,2025-07-21 07:25:00,,2025-07-21 07:29:00,,,6AM - 9AM,22.0,4.0
,AI2625,2025-07-20,Mumbai(BOM),Hyderabad(HYD),A20N(VT-EXV),01:11:00,2025-07-20 06:00:00,2025-07-20 06:11:00,2025-07-20 07:25:00,,2025-07-20 07:23:00,,,6AM - 9AM,11.0,-2.0
,AI2625,2025-07-19,Mumbai(BOM),Hyderabad(HYD),A20N(VT-TQB),01:13:00,2025-07-19 06:00:00,2025-07-19 06:20:00,2025-07-19 07:25:00,,2025-07-19 07:33:00,,,6AM - 9AM,20.0,8.0
,AI2625,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
3.0,6E762,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
,6E762,2025-07-25,Mumbai(BOM),Delhi(DEL),A21N(VT-NCB),01:42:00,2025-07-25 06:00:00,2025-07-25 06:08:00,2025-07-25 07:55:00,,2025-07-25 07:49:00,,,6AM - 9AM,8.0,-6.0
,6E762,2025-07-24,Mumbai(BOM),Delhi(DEL),A21N(VT-IWQ),01:47:00,2025-07-24 06:00:00,2025-07-24 06:15:00,2025-07-24 07:55:00,,2025-07-24 08:02:00,,,6AM - 9AM,15.0,7.0
,6E762,2025-07-23,Mumbai(BOM),Delhi(DEL),A21N(VT-NCA),01:52:00,2025-07-23 06:00:00,2025-07-23 06:22:00,2025-07-23 07:55:00,,2025-07-23 08:14:00,,,6AM - 9AM,22.0,19.0
,6E762,2025-07-22,Mumbai(BOM),Delhi(DEL),A21N(VT-ICF),01:37:00,2025-07-22 06:00:00,2025-07-22 06:08:00,2025-07-22 07:55:00,,2025-07-22 07:45:00,,,6AM - 9AM,8.0,-10.0
,6E762,2025-07-21,Mumbai(BOM),Delhi(DEL),A21N(VT-NCR),01:36:00,2025-07-21 06:00:00,2025-07-21 06:10:00,2025-07-21 07:55:00,,2025-07-21 07:45:00,,,6AM - 9AM,10.0,-10.0
,6E762,2025-07-20,Mumbai(BOM),Delhi(DEL),A21N(VT-NCA),01:40:00,2025-07-20 06:00:00,2025-07-20 06:02:00,2025-07-20 07:55:00,,2025-07-20 07:42:00,,,6AM - 9AM,2.0,-13.0
,6E762,2025-07-19,Mumbai(BOM),Delhi(DEL),A21N(VT-NCG),01:45:00,2025-07-19 06:00:00,2025-07-19 06:07:00,2025-07-19 07:55:00,,2025-07-19 07:53:00,,,6AM - 9AM,7.0,-2.0
,6E762,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
4.0,QP1891,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
,QP1891,2025-07-25,Mumbai(BOM),Srinagar(SXR),B38M(VT-YAP),02:12:00,2025-07-25 06:05:00,2025-07-25 06:25:00,2025-07-25 08:45:00,,2025-07-25 08:37:00,,,6AM - 9AM,20.0,-8.0
,QP1891,2025-07-24,Mumbai(BOM),Srinagar(SXR),B38M(VT-YAH),02:23:00,2025-07-24 06:05:00,2025-07-24 06:23:00,2025-07-24 08:45:00,,2025-07-24 08:46:00,,,6AM - 9AM,18.0,1.0
,QP1891,2025-07-23,Mumbai(BOM),Srinagar(SXR),B38M(VT-YAG),02:23:00,2025-07-23 06:05:00,2025-07-23 06:30:00,2025-07-23 08:45:00,,2025-07-23 08:52:00,,,6AM - 9AM,25.0,7.0
,QP1891,2025-07-22,Mumbai(BOM),Srinagar(SXR),B38M(VT-YBE),02:19:00,2025-07-22 06:05:00,2025-07-22 06:18:00,2025-07-22 08:45:00,,2025-07-22 08:37:00,,,6AM - 9AM,13.0,-8.0
,QP1891,2025-07-21,Mumbai(BOM),Srinagar(SXR),B38M(VT-YAF),02:27:00,2025-07-21 06:05:00,2025-07-21 06:29:00,2025-07-21 08:45:00,,2025-07-21 08:56:00,,,6AM - 9AM,24.0,11.0
,QP1891,2025-07-20,Mumbai(BOM),Srinagar(SXR),B38M(VT-YAI),02:17:00,2025-07-20 06:05:00,2025-07-20 06:15:00,2025-07-20 08:45:00,,2025-07-20 08:33:00,,,6AM - 9AM,10.0,-12.0
,QP1891,2025-07-19,Mumbai(BOM),Srinagar(SXR),B38M(VT-YAA),02:11:00,2025-07-19 06:05:00,2025-07-19 06:16:00,2025-07-19 08:45:00,,2025-07-19 08:27:00,,,6AM - 9AM,11.0,-18.0
,QP1891,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
5.0,6E5352,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
,6E5352,2025-07-25,Mumbai(BOM),Bengaluru(BLR),A21N(VT-IWU),01:17:00,2025-07-25 06:05:00,2025-07-25 06:05:00,2025-07-25 07:55:00,,2025-07-25 07:22:00,,,6AM - 9AM,0.0,-33.0
,6E5352,2025-07-24,Mumbai(BOM),Bengaluru(BLR),A21N(VT-IWS),01:26:00,2025-07-24 06:05:00,2025-07-24 06:12:00,2025-07-24 07:55:00,,2025-07-24 07:38:00,,,6AM - 9AM,7.0,-17.0
,6E5352,2025-07-23,Mumbai(BOM),Bengaluru(BLR),A21N(VT-IWT),01:25:00,2025-07-23 06:05:00,2025-07-23 06:14:00,2025-07-23 07:55:00,,2025-07-23 07:39:00,,,6AM - 9AM,9.0,-16.0
,6E5352,2025-07-22,Mumbai(BOM),Bengaluru(BLR),A21N(VT-IWU),01:21:00,2025-07-22 06:05:00,2025-07-22 06:16:00,2025-07-22 07:55:00,,2025-07-22 07:37:00,,,6AM - 9AM,11.0,-18.0
,6E5352,2025-07-21,Mumbai(BOM),Bengaluru(BLR),A21N(VT-NCQ),01:19:00,2025-07-21 06:05:00,2025-07-21 06:03:00,2025-07-21 07:55:00,,2025-07-21 07:22:00,,,6AM - 9AM,-2.0,-33.0
,6E5352,2025-07-20,Mumbai(BOM),Bengaluru(BLR),A21N(VT-NCH),01:20:00,2025-07-20 06:05:00,2025-07-20 06:06:00,2025-07-20 07:55:00,,2025-07-20 07:25:00,,,6AM - 9AM,1.0,-30.0
,6E5352,2025-07-19,Mumbai(BOM),Bengaluru(BLR),A21N(VT-NCB),01:11:00,2025-07-19 06:05:00,2025-07-19 06:10:00,2025-07-19 07:55:00,,2025-07-19 07:21:00,,,6AM - 9AM,5.0,-34.0
,6E5352,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
6.0,6E1185,2025-07-19,,,,,,,,,,,,6AM - 9AM,,
